timestamp_utc,side,mint,dex,signature,lamports_in,lamports_out,tokens_in,tokens_out,expected_tokens_out,expected_sol_out,shortfall_tokens,shortfall_sol,network_fee_lamports,realized_pnl_sol,notes
2025-12-22T22:24:09.593494096+00:00,SELL,D83xUHLF355RdTywZbBct9VbNMHDxgyRSeBXFm6s7r8c,*,5nst3P48EVP7bh4VyXhXQQDysqpm2QcuhQatJ56sruJqQfX2ydxXa7gHK2J81Fyiwz4ATXmz1DarXHDo6bh6aJrJ,0,0,71342609566,71342609566,,,0,,0,-0.0021,exit_fraction=1
2025-12-22T22:24:15.603481195+00:00,SELL,3KN4q9dFXZ1e4riep2QDxitUYYuFe2QxNLHvwuDcKf5H,*,31unP5RtJJBxoYqieC68pFTaP65pVK1VcQ4zB5iXtaF92pGbzwGewofcaDueHWxoD2Lm1mdyspUZJMPca8KLSbjd,0,0,71342609566,71342609566,,,0,,0,-0.0021,exit_fraction=1
2025-12-22T22:24:41.463390328+00:00,SELL,2GkKrYDuTMvX4Na7HMZHnXFtc2SzfKRxx1krZs7zE2iH,*,522ZRY4hHRCiwtxBNpD1TurC9XTjJzjz543ii95MLPbxf6GSVzK3DF4F3ofjYFr2fmECdD9HKvTBnzQLE44hdqze,0,0,71342609566,71342609566,,,0,,0,-0.0021,exit_fraction=1
2025-12-22T22:25:42.779615553+00:00,SELL,EKbifZd6Z8gqMJvBBZwSXZNi7QbgCj97b3sB9HdTpump,*,cdxqK3F8i6k119VeF2T6A32rfcc4ZDuH5cxirFpQLq7LirLHDhHY19tcCz13vQt5CcBhfUJqxvgxmWreSGjHy4y,0,0,50959006830,50959006830,,,0,,0,-0.0015,exit_fraction=0.3
2025-12-22T22:25:58.995523412+00:00,SELL,ERzXg3aBCh2vY8VUotXRgPTGXSBTy8jJ8eBtccLn5nZm,*,55sT3xSp2DaTnmkFf7Xknzq3NPDHUHigEoVn8NR8xaJThqK6ASfyPpLop1mza9TgXQKMmHzEDTsSnJrxBZsVHLJA,0,0,50959006831,50959006831,,,0,,0,-0.0015,exit_fraction=0.3
2025-12-22T22:26:00.451503390+00:00,SELL,5B6ZxNHUwZJ3gaTQ6UnkJctBRNhnFNN8NsAzp5sBpump,*,2EZrHDsW4J56pG3Zm5Kxo9hzGKkuqY761fBY4CzCgujs2VDbi4UvHYqhHxk2DwyjkjaKWG9YNtnn3Cg1vBaERbqp,0,0,50959006831,50959006831,,,0,,0,-0.0015,exit_fraction=0.3
2025-12-22T22:26:20.316586915+00:00,SELL,EKbifZd6Z8gqMJvBBZwSXZNi7QbgCj97b3sB9HdTpump,*,4yXphRR6XW2fgtBFBaTjgRzqjRV89JPRPfQJd5dLxBLesyZ1AjjQpu1H3RbpMSGu8f1SzSA2HL1v23mfjZM666HP,0,0,47561739708,47561739708,,,0,,0,-0.0014000000000000002,exit_fraction=0.4
2025-12-22T22:26:36.147387857+00:00,SELL,ERzXg3aBCh2vY8VUotXRgPTGXSBTy8jJ8eBtccLn5nZm,*,2fWfYpt5u9Ln62REGWGNCNJ7aRnUEX7JeEkbqmMEyhNSXWUSfxqZYx3s8vjXbhtQF1PvAL3z71cVDbRnA6wMtknC,0,0,47561739709,47561739709,,,0,,0,-0.0014000000000000002,exit_fraction=0.4
2025-12-22T22:26:43.989431512+00:00,SELL,5B6ZxNHUwZJ3gaTQ6UnkJctBRNhnFNN8NsAzp5sBpump,*,4DrFmBcEjcuHzQyKzKtbH1FFk8hRQSt6zM8XV35p4h8c4SG7jNBvZz5DLc8K8j9AQafEvLrQZcfg27BQg7HVTmPB,0,0,47561739709,47561739709,,,0,,0,-0.0014000000000000002,exit_fraction=0.4
2025-12-22T22:26:58.100604258+00:00,SELL,5B6ZxNHUwZJ3gaTQ6UnkJctBRNhnFNN8NsAzp5sBpump,*,5HRK4DTVpDjnxJmfaTfNDp4PMYkn7aHZJP4eRC8T8aJ9vK8PmzdtZNMBhoGDYy8mrgR4SiRfaKguy3cfzmAynnTh,0,0,71342609566,71342609566,,,0,,0,-0.0021,exit_fraction=1
2025-12-22T22:26:58.794206648+00:00,SELL,ERzXg3aBCh2vY8VUotXRgPTGXSBTy8jJ8eBtccLn5nZm,*,4PFmxykLs4ALQGKCrmpb6aRsPfBGxD9r8HfrXdXN3iWbFsSwa3AVigBAAikEqBgjjM4zctra6jCD3Y2pBB585Kx1,0,0,71342609566,71342609566,,,0,,0,-0.0021,exit_fraction=1
2025-12-22T22:28:41.878530262+00:00,SELL,2SFt8G6Nyy91fyQLBtwMzsfWa1rDnUhNLEckDQ3Cpump,*,61xPb1p7u3M4gVPV4qtBTJC7nNMcPHVhDjKwpsfEdxzSSn97vsjpdTEkebqrUioT8JxWk1Y2PvZvmVMCWiiHCJM3,0,0,48473257450,48473257450,,,0,,0,-0.0015,exit_fraction=0.3
2025-12-22T22:28:58.003703055+00:00,SELL,2SFt8G6Nyy91fyQLBtwMzsfWa1rDnUhNLEckDQ3Cpump,*,63wrjR1odFbETNyMCB4v4hNTr8DT6wVb9NCmYrMmm5Vzn1eqPsZx357ANLxpwAPMjqBqqkkCUAV9ro67kSFmPppN,0,0,45241706954,45241706954,,,0,,0,-0.0014000000000000002,exit_fraction=0.4
2025-12-22T22:29:21.430858006+00:00,SELL,2SFt8G6Nyy91fyQLBtwMzsfWa1rDnUhNLEckDQ3Cpump,*,fyfSAM7WDFVPsWYcpTzAPaB9Ds3b6ZEqfkqzzgag6Sf6zDggoTpxFA3GqKFLkF8kYkHAzje92QUuVBemNscy6Ds,0,0,67862560432,67862560432,,,0,,0,-0.0021,exit_fraction=1
2025-12-22T22:29:54.396990461+00:00,SELL,HPRR9BJE1rLcTrVh2oAeZkRsf2PTrnm6wvre9KV3irsc,*,5Y2fapvB1jLtPuPMZBE5bdhbGuoqQECrBCMGMXnQgCV9MHDoZXKckNkNiXx6gcZAso9y5iXo1vT8FUczAdo8k3Uy,0,0,50959006828,50959006828,,,0,,0,-0.0015,exit_fraction=0.3
2025-12-22T22:29:54.496756860+00:00,SELL,B2WWGmYqZgH13DkVqKHmjF2aSqcxauEeQHqkqJ8Epump,*,4PzBdB7VgMFHoSArNf9S6NZyW1g2N1ko5YGoD6aDYgvc53db4sKn3XpdGuz6JuG29XwkmM6g4AZnRs7iD8Ru56WX,0,0,47759461908,47759461908,,,0,,0,-0.005,exit_fraction=1
2025-12-22T22:30:00.359767605+00:00,SELL,68YJvrM3HMzHUqUQG97Pa62VjPNFbiEZiMLNEy3qpump,*,9GfqoAS3vaNsVn1wAnwNKL2tpUiSPifb5dU8NyUTAzrc1kGcdY4YwAxaWhkBmwPk4jYJLjpSCsJctU6ZgjsFqzN,0,0,50959006811,50959006811,,,0,,0,-0.0015,exit_fraction=0.3
2025-12-22T22:30:29.672202966+00:00,SELL,HPRR9BJE1rLcTrVh2oAeZkRsf2PTrnm6wvre9KV3irsc,*,Y4BN5yZSEqtcFaaySNsyp7t9mjmBVoAsmg19Yz3gEBC3BhG8wYBA9UUofb61qaFTkKoS2rPQBgDUATCf2Kst8GN,0,0,47561739706,47561739706,,,0,,0,-0.0014000000000000002,exit_fraction=0.4
2025-12-22T22:30:30.445932981+00:00,SELL,68YJvrM3HMzHUqUQG97Pa62VjPNFbiEZiMLNEy3qpump,*,2FAMenXSS1t7e4uueGQFiBnRcr6CuF2Xh5t8mkQCqRo47Fs3XgUwf5Wetbfx3UfrWozQc1g7NRCALkg65bBEN2vG,0,0,47561739690,47561739690,,,0,,0,-0.0014000000000000002,exit_fraction=0.4
2025-12-22T22:30:59.619814096+00:00,SELL,HPRR9BJE1rLcTrVh2oAeZkRsf2PTrnm6wvre9KV3irsc,*,3n4jYN1TJhN8TMN6smkDZZjQQTMdbbxy6DjtjSUwLd5H5JX7LcJeWvJG2oLerNeu8r3hD3YxFKzTvAVptswqZ5yG,0,0,71342609561,71342609561,,,0,,0,-0.0021,exit_fraction=1
2025-12-22T22:31:15.217356821+00:00,SELL,68YJvrM3HMzHUqUQG97Pa62VjPNFbiEZiMLNEy3qpump,*,2wkFNwBBgFQmXhfW2LnENCS2LjMw87n4ya5E3Q3ZCgwyhJYBC6cmQFRhQZGFnT1agSafqaczg83NMZHH591W9L2J,0,0,71342609538,71342609538,,,0,,0,-0.0021,exit_fraction=1
2025-12-22T22:31:31.049365707+00:00,SELL,FtU1sBrjWyd5X9297mKkeScVqeRsSx4yUHWTmncVpump,*,4uKu8Tq1ZGQiq2JX4xEZJ5XETTHXUgSPWacMdmxpc2fXRaqoeCGchdDrxQ7T8pFFDeM4zJ1r7Eru4PqkTDiUeBCC,0,0,50637819664,50637819664,,,0,,0,-0.0015,exit_fraction=0.3
2025-12-22T22:31:31.093374686+00:00,SELL,6wfU25Qufw8mgfMaXFDvP91GwMtRpHSJocJgpzqvahka,*,2CdgfEMiQHEiYFEfuztmWzxKsQvmTri4fka4JZKMiXFVoCEvuR4ZYKsw73FwkqKJCyceY73cBf6Nfv3eZMqrsxeC,0,0,28843395343,28843395343,,,0,,0,-0.0015,exit_fraction=0.3
2025-12-22T22:32:04.524363429+00:00,SELL,6wfU25Qufw8mgfMaXFDvP91GwMtRpHSJocJgpzqvahka,*,2hvx4VogsdPHN9SM1RDyA2CJFSa8jWdpaoZ4rsir7JxyHvQ9886u5EKMUmQFKjAnNxJBrT9JuoafjXhAvLdnUxeX,0,0,67301255802,67301255802,,,0,,0,-0.0035,exit_fraction=1
2025-12-22T22:32:30.090624837+00:00,SELL,FtU1sBrjWyd5X9297mKkeScVqeRsSx4yUHWTmncVpump,*,3Y4e2ph1rPqVEymFcCcBTfCBJTx4c1CuP5gafeEZwYy5afor4rbwfM5CtbVs4JZrYYeoCBoMqvnNdaRE4MoXxiCD,0,0,47261965020,47261965020,,,0,,0,-0.0014000000000000002,exit_fraction=0.4
2025-12-22T22:32:44.240348999+00:00,SELL,FtU1sBrjWyd5X9297mKkeScVqeRsSx4yUHWTmncVpump,*,qwQc3vPK9kzX83HkGXbZfMbyzN6K9zHnb2qzXJkjiryQuPzenMKjfZ5x2M3SrpcAidmxQqC8EVZHraEkwb51TXQ,0,0,70892947532,70892947532,,,0,,0,-0.0021,exit_fraction=1
2025-12-22T22:35:08.090215556+00:00,SELL,AkcqW9mrRRD2HNkB3eWeCAYy2s3pjDb13PFZhCDQpump,*,5oca42dB2BuQyKGWKKGe5RH4wdRgePG44ndZ1yckVkrbPL77KsB84wAEYNh4StoLN7cmhP1GYbaQQF3CeJg5SCha,0,0,50959006831,50959006831,,,0,,0,-0.0015,exit_fraction=0.3
2025-12-22T22:35:34.439774488+00:00,SELL,AkcqW9mrRRD2HNkB3eWeCAYy2s3pjDb13PFZhCDQpump,*,3c4Mj2vFmpGdrEE4y5eUSLPJimqK8UoT4vRTTHJgLVhA3x3EK1e7JPwAwRQyJ1Td3K84GYqC1EMuGYDXGvC1vFPt,0,0,47561739709,47561739709,,,0,,0,-0.0014000000000000002,exit_fraction=0.4
2025-12-22T22:36:07.850418994+00:00,SELL,AkcqW9mrRRD2HNkB3eWeCAYy2s3pjDb13PFZhCDQpump,*,58C7cEaSTaYj9G9ZfER5tV8RG56XQacdrEacwVkq4sq2795qHpGPK5giMGcHyi5Ye7XqqLzYJsFKjKxDybNkJM6W,0,0,71342609566,71342609566,,,0,,0,-0.0021,exit_fraction=1
2025-12-22T22:40:05.344128470+00:00,SELL,N5UoDainmNzNytGX93RzN1TfmMuNheyWRNAM2sGpump,*,59ogSDL6RAKKHXd5aWBbxyCNzobLV12biUZXA4HquTWKNQBw3qJ63nkpWMM1Lk92gRDkWJnJRsftCvLW9eVENpaR,0,0,50959006831,50959006831,,,0,,0,-0.0015,exit_fraction=0.3
2025-12-22T22:40:12.169210788+00:00,SELL,7ePNEweVr4aQ289moHzhaqycfZLuPLoM3naHhNDRjpQ9,*,3Zv7xBFqeDYBa67MpCQfnFKg3PjAadXibbwTqrtu5C65V34UZJk8BbPeM1FxAzvziLDsXvtGA1fCxd6AJrpLtAGW,0,0,50959006831,50959006831,,,0,,0,-0.0015,exit_fraction=0.3
2025-12-22T22:40:34.186939806+00:00,SELL,Aw7qoHf44u13pWJV1zYFmyN2XmBSdWDrCPr2kJLwpump,*,DdayeFQMR8VZSNvxuyxGRgyyaGq3R8v7Q5cnr2JmKer78kMbnNUnBxxaPGgrVi33i1xNrHngN7n8uU4VQbN15KS,0,0,119061932499,119061932499,,,0,,0,-0.005,exit_fraction=1
2025-12-22T22:40:49.408143044+00:00,SELL,N5UoDainmNzNytGX93RzN1TfmMuNheyWRNAM2sGpump,*,4MdxWprYR8KGVyuTCFBKNAbWsjVLmRcuX79hbuYsEDCgPNoqTdVrUvJhJqJzMLdLsUi9ZfriCyCsHwBka2x5zuLT,0,0,47561739709,47561739709,,,0,,0,-0.0014000000000000002,exit_fraction=0.4
2025-12-22T22:40:49.415677187+00:00,SELL,2AJSve9qmkVxRgbuc62dhNjoRyZ2dRuYaa6STQ84pump,*,344WCe1spG1QxTsYwhqv5WavTXmkBNGjiwJuhuQJmuKcvvos2fDmoRH8ou5quRAyHU7go9LNMQAn3mku8itVzwYc,0,0,50959006831,50959006831,,,0,,0,-0.0015,exit_fraction=0.3
